latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63,latent_64,latent_65,latent_66,latent_67,latent_68,latent_69,latent_70,latent_71,latent_72,latent_73,latent_74,latent_75,latent_76,latent_77,latent_78,latent_79,latent_80,latent_81,latent_82,latent_83,latent_84,latent_85,latent_86,latent_87,latent_88,latent_89,latent_90,latent_91,latent_92,latent_93,latent_94,latent_95,latent_96,latent_97,latent_98,latent_99,latent_100,latent_101,latent_102,latent_103,latent_104,latent_105,latent_106,latent_107,latent_108,latent_109,latent_110,latent_111,latent_112,latent_113,latent_114,latent_115,latent_116,latent_117,latent_118,latent_119,latent_120,latent_121,latent_122,latent_123,latent_124,latent_125,latent_126,latent_127,Concentration
0.0,0.0,0.0,0.0,0.3229516850441822,0.0,0.7942157948365365,0.0,0.0,0.0,0.35230053333357253,0.0,0.0,0.1949173343756741,0.0,0.2207506791933077,0.0,0.0,0.11611948768220315,0.0,0.0,0.0,0.5602629204601801,0.0,0.0,0.0,0.8873264227902551,0.34512084427602224,0.0,1.952477536598599,0.06041019717620785,0.6710244106065488,1.8491818042980421,0.0,0.07008811755688066,0.0,0.0,0.4476034885836578,0.0,0.0,0.0,0.16444072147179678,1.136734828123111,0.0,1.9056847642513697,0.0,1.596089548550027,0.0,0.0,0.0,0.0,0.024902648815990573,0.0,0.0,0.0,0.0,1.7112975865596614,0.5098484892173236,0.685113450351296,0.0,0.01591315144457095,0.0,0.0,0.3198790865269097,2.0983723951905078,0.0,0.0,0.0,0.0,0.0,0.0,2.5138730864762495,2.067302571569029,0.0,0.0,0.0,0.0,2.834235457620898,0.19869217094703065,1.851209095476863,0.0,0.0,0.49359017196172394,0.3857201497510693,0.9201012654995985,0.335661625237646,0.0,0.2718793833145096,0.0,0.47729864992343873,2.0450148991544266,0.5313407595341428,0.0,0.0,0.161010821298177,0.0,0.0,0.0,1.3899643346317094,0.0,1.928952985393982,0.2792013078081169,0.0,0.0,0.28763738504794045,0.31841236614103,0.0,0.0,0.0,0.0,0.9727849095967259,0.0,0.11810969997483944,0.0,0.0,0.0,0.0,2.068428393128709,0.0,0.18177484186215753,0.0,0.584037110034326,0.25466941923595604,0.0,0.5185045420130786,0.12561910996576311,0.0,0.0,0
0.0,0.0,0.0,0.0,0.3217079345983088,0.0,0.7961810177593535,0.0,0.0,0.0,0.34612063924793546,0.0,0.0,0.19053280732916078,0.0,0.2196193986654664,0.0,0.0,0.10970780486505788,0.0,0.0,0.0,0.5573885716527192,0.0,0.0,0.0,0.8903173506210806,0.35195448336388224,0.0,1.9729841564452442,0.06274271755199828,0.6698059782553125,1.8652270633346755,0.0,0.07667415550469958,0.0,0.0,0.444141781989115,0.0,0.0,0.0,0.16100817037669868,1.1401576822634232,0.0,1.9452394663341974,0.0,1.608296279372862,0.0,0.0,0.0,0.0,0.028963008063065517,0.0,0.0,0.0,0.0,1.7261820390377582,0.5056515237385582,0.6810728096173475,0.0,0.006222805340424631,0.0,0.0,0.31734777258067515,2.1388763532470167,0.0,0.0,0.0,0.0,0.0,0.0,2.562484640821493,2.0804602613100904,0.0,0.0,0.0,0.0,2.8795326727622164,0.2039356532723536,1.8696561832009155,0.0,0.0,0.4927855902058674,0.3821948173102587,0.9240141516823418,0.3387759605417951,0.0,0.2765407234601848,0.0,0.47879656920538305,2.0823353849554636,0.5389526682669532,0.0,0.0,0.1643291291859061,0.0,0.0,0.0,1.4128157480645105,0.0,1.948662049531431,0.28237799011406517,0.0,0.0,0.29400523126877043,0.3189044206628477,0.0,0.0,0.0,0.0,0.9869319084615878,0.0,0.11601082304105048,0.0,0.0,0.0,0.003390068619831113,2.1043761851805187,0.0,0.17698379104200823,0.0,0.5907239740191287,0.2544757945475442,0.0,0.5165771858151651,0.12564711412435345,0.0,0.0,0
0.0,0.0,0.0,0.0,0.32053117733248393,0.0,0.7990174834217093,0.0,0.0,0.0,0.34511813886707404,0.0,0.0,0.1983931956691697,0.0,0.21383638673247518,0.0,0.0,0.11099948077759586,0.0,0.0,0.0,0.553371978529661,0.0,0.0,0.0,0.8925319727807784,0.3599980648426673,0.0,1.9883468245701197,0.06577365693448896,0.6692487951675837,1.876866013487747,0.0,0.08407533263397945,0.0,0.0,0.4448931236598954,0.0,0.0,0.0,0.16844072350128592,1.138059550386513,0.0,1.9362164817548195,0.0,1.612581213413349,0.0,0.0,0.0,0.0,0.036182619797122346,0.0,0.0,0.0,0.0,1.740563983254135,0.49487940215462756,0.6751314190630073,0.0,0.007769298847154715,0.0,0.0,0.32065533302724236,2.119512865933751,0.0,0.0,0.0,0.0,0.0,0.0,2.5416038806618935,2.0875468282339424,0.0,0.0,0.0,0.0,2.8702531681274155,0.21210546103303526,1.8823335870866567,0.0,0.0,0.496016324022835,0.38859370435616714,0.9270096205256311,0.33973358615135496,0.0,0.27999943994576854,0.0,0.4739880713555469,2.0624305407118504,0.5388582806717445,0.0,0.0,0.16958406260547396,0.0,0.0,0.0,1.3995798833373536,0.0,1.961490953259423,0.27975497346578826,0.0,0.0,0.2967524914713658,0.31487199347315487,0.0,0.0,0.0,0.0,0.9681177901795629,0.0,0.12274613697891357,0.0,0.0,0.0,0.015387979026291382,2.079806802210763,0.0,0.17909110518796323,0.0,0.6030172519685428,0.24951229356484633,0.0,0.521650174340953,0.12315700693355984,0.0,0.0,0
0.0,0.0,0.0,0.0,0.31007033627998404,0.0,0.7929434718592279,0.0,0.0,0.0,0.3663194522353485,0.0,0.0,0.21194496555454562,0.0,0.21155456250107021,0.0,0.0,0.1446019946601731,0.0,0.0,0.0,0.5724948976062867,0.0,0.0,0.0,0.880467072539113,0.3206219542745802,0.0,1.8778740697851601,0.05079598541243181,0.6741897723161522,1.7771868482984172,0.0,0.058363174794152324,0.0,0.0,0.4645639062648726,0.0,0.0,0.0,0.18868774077900585,1.1128317550837907,0.0,1.742675301541218,0.0,1.5413692479604726,0.0,0.0,0.0,0.0,0.012858153956365137,0.0,0.0,0.0,0.0,1.638109601833743,0.5108014173197827,0.6955820916866284,0.0,0.050282286313609204,0.0,0.0,0.34050049825441775,1.9325463735917818,0.0,0.0,0.0,0.0,0.0,0.0,2.314673683490287,1.9887823197758279,0.0,0.0,0.0,0.0,2.639127640019842,0.17415788973570553,1.7818174953439374,0.0,0.0,0.49822373708141066,0.4049830479174573,0.9050020120219714,0.31629824713230104,0.0,0.25392984597177654,0.0,0.46804848637779095,1.883665022310647,0.5037349290156853,0.0,0.0,0.1500776549591486,0.0,0.0,0.0,1.2858201429978329,0.0,1.8586831671136241,0.26871865169055154,0.0,0.0,0.27290168242624674,0.30919952494501973,0.0,0.0,0.0,0.0,0.9000011178550645,0.0,0.14900535383767277,0.0,0.0,0.0,0.0,1.9132875063200703,0.0,0.2133436356391037,0.0,0.5818675891430182,0.24448241160470913,0.0,0.5353273453965239,0.1188399926775706,0.0,0.0,1
0.0,0.0,0.0,0.0,0.3121054143164533,0.0,0.7965819607963175,0.0,0.0,0.0,0.3607948349099231,0.0,0.0,0.21543998768931993,0.0,0.2076110915702037,0.0,0.0,0.13766986315965302,0.0,0.0,0.0,0.5645386912403887,0.0,0.0,0.0,0.8850395217671878,0.33667448994760685,0.0,1.9168039233956191,0.056920613945923085,0.6726024616676965,1.81088160255494,0.0,0.070269001892076,0.0,0.0,0.46045592702239585,0.0,0.0,0.0,0.18988906745254053,1.1173320647315808,0.0,1.7808925225218806,0.0,1.5620254295625013,0.0,0.0,0.0,0.0,0.024374213814814062,0.0,0.0,0.0,0.0,1.6749758310182623,0.4983821446112383,0.685878850675705,0.0,0.04168914698590098,0.0,0.0,0.33829119436010613,1.9603895745519941,0.0,0.0,0.0,0.0,0.0,0.0,2.3507007558749686,2.018961647481219,0.0,0.0,0.0,0.0,2.686296334521681,0.19018191946101692,1.816207491403604,0.0,0.0,0.5004035807047882,0.4063863087402912,0.9127313445503891,0.32286809172522785,0.0,0.2630082967559247,0.0,0.46546764119133177,1.909370613803673,0.5118650299011722,0.0,0.0,0.1590800747820676,0.0,0.0,0.0,1.3018540385890476,0.0,1.8936119435393213,0.26902691127174133,0.0,0.0,0.2805343417121711,0.30734097078046585,0.0,0.0,0.0,0.0,0.9006166745271135,0.0,0.14781524161480375,0.0,0.0,0.0,0.0,1.9321116829115303,0.0,0.20664931820756732,0.0,0.596539366819186,0.2417978542078511,0.0,0.5361198344681914,0.117953884300086,0.0,0.0,1
0.0,0.0,0.0,0.0,0.30700536680283785,0.0,0.7996230534049927,0.0,0.0,0.0,0.3535808868123945,0.0,0.0,0.2119912368882057,0.0,0.2035432977182134,0.0,0.0,0.13342783844905293,0.0,0.0,0.0,0.5624987303857105,0.0,0.0,0.0,0.8885187575954919,0.3425836292403401,0.0,1.9342579678879321,0.05864777619482975,0.6712722623296251,1.8213750096204953,0.0,0.07872230913595954,0.0,0.0,0.4585331677024867,0.0,0.0,0.0,0.1897270986608009,1.1175733331151938,0.0,1.8100081904062812,0.0,1.5700067727953835,0.0,0.0,0.0,0.0,0.02847568233942297,0.0,0.0,0.0,0.0,1.683234678029071,0.49146393899514024,0.6814487556042323,0.0,0.03326215912885455,0.0,0.0,0.33880149209755944,1.990428142891699,0.0,0.0,0.0,0.0,0.0,0.0,2.3867172446528873,2.023036743879191,0.0,0.0,0.0,0.0,2.7176845075511284,0.19339036385502267,1.8313757220836728,0.0,0.0,0.5001263241395202,0.40490711464863227,0.9158613622157736,0.32364985042003036,0.0,0.2667454912399768,0.0,0.4658426257657847,1.9350556173237112,0.518346657582524,0.0,0.0,0.16217705438651103,0.0,0.0,0.0,1.316336096419688,0.0,1.9107138500038099,0.2719651911475337,0.0,0.0,0.2879053743174165,0.3060235451329541,0.0,0.0,0.0,0.0,0.9076217116698994,0.0,0.15145314441216162,0.0,0.0,0.0,0.005024500830723491,1.956899585064618,0.0,0.2058706435411457,0.0,0.6073962009137669,0.23909034663664325,0.0,0.5367763403486121,0.11642017331963461,0.0,0.0,1
0.0,0.0,0.0,0.0,0.31173217210120824,0.0,0.8004245624590501,0.0,0.0,0.0,0.3519124261169766,0.0,0.0,0.21307444224629668,0.0,0.20430567638359218,0.0,0.0,0.1280237044949944,0.0,0.0,0.0,0.5576963648574786,0.0,0.0,0.0,0.890320526333663,0.3515221073104543,0.0,1.9565591411545993,0.06230559671832299,0.6705987915939601,1.8434759692424145,0.0,0.08289544719219588,0.0,0.0,0.4550804412453575,0.0,0.0,0.0,0.18739191563318064,1.1227765322048129,0.0,1.838220147497744,0.0,1.5842453940332284,0.0,0.0,0.0,0.0,0.03425493897269142,0.0,0.0,0.0,0.0,1.7080289034886869,0.48774443438627957,0.6769350575421514,0.0,0.027966914989152714,0.0,0.0,0.33488449957748984,2.0132613210731543,0.0,0.0,0.0,0.0,0.0,0.0,2.415505030150249,2.0467429181999064,0.0,0.0,0.0,0.0,2.7535933814523768,0.2034154214484702,1.851612511812752,0.0,0.0,0.5007868047212745,0.4038321547144567,0.9204611440286068,0.32913615965443,0.0,0.27215019085168635,0.0,0.4655106708310697,1.9579958896857044,0.5233503187222843,0.0,0.0,0.1669283227536651,0.0,0.0,0.0,1.3317065154065997,0.0,1.9305528098173987,0.2722370213718509,0.0,0.0,0.29068747501347514,0.3067471435651946,0.0,0.0,0.0,0.0,0.9141628932550917,0.0,0.14551184222985136,0.0,0.0,0.0,0.014053158255893108,1.97587854489716,0.0,0.19879809169614326,0.0,0.6108303187610009,0.24007353462754988,0.0,0.5348227241307355,0.11743034308478968,0.0,0.0,1
0.0,0.0,0.0,0.0,0.3102390222001585,0.0,0.8030868824176335,0.0,0.0,0.0,0.3493037157453309,0.0,0.0,0.21739613319633605,0.0,0.19966844319898008,0.0,0.0,0.1272107739697958,0.0,0.0,0.0,0.5540807710546183,0.0,0.0,0.0,0.8928016212936276,0.3591377955358799,0.0,1.9732038020676121,0.0650840260249751,0.6698380272885174,1.855987150068505,0.0,0.09019989886766508,0.0,0.0,0.4547078543718477,0.0,0.0,0.0,0.19187223922914437,1.1220616460183632,0.0,1.8427183499445228,0.0,1.5905412126949243,0.0,0.0,0.0,0.0,0.040546138507576636,0.0,0.0,0.0,0.0,1.722049361259113,0.4787018147202313,0.6715241864729891,0.0,0.026297162834760246,0.0,0.0,0.33670431078133495,2.0107460248522475,0.0,0.0,0.0,0.0,0.0,0.0,2.4141467423010017,2.0549210269793647,0.0,0.0,0.0,0.0,2.759337085819878,0.21056579699631658,1.865739012955125,0.0,0.0,0.5028682012686084,0.40746206460524165,0.9236669127142458,0.33055030915270117,0.0,0.27589243900665933,0.0,0.46247537792720805,1.9540701441259503,0.5254413558608664,0.0,0.0,0.17159517467410465,0.0,0.0,0.0,1.3284679745777264,0.0,1.9452099282041053,0.2713058337154489,0.0,0.0,0.2945795120971715,0.30390966763638355,0.0,0.0,0.0,0.0,0.9045186970762203,0.0,0.15008349319769954,0.0,0.0,0.0,0.024223756648650646,1.9682955168774519,0.0,0.19917991690237963,0.0,0.6217911902933966,0.23632316002269582,0.0,0.5380302670645345,0.11556262397350363,0.0,0.0,1
0.0,0.0,0.0,0.0,0.30809075596864616,0.0,0.8051104967221578,0.0,0.0,0.0,0.3417567874905252,0.0,0.0,0.21055879090426033,0.0,0.19887334464617945,0.0,0.0,0.11962084432589382,0.0,0.0,0.0,0.5516479239973522,0.0,0.0,0.0,0.8960744304111676,0.3654943831242785,0.0,1.9941270991308246,0.06712462884438372,0.668449684126478,1.8717115618684912,0.0,0.09703918657502386,0.0,0.0,0.45068306098798133,0.0,0.0,0.0,0.18682640236129539,1.125953579885246,0.0,1.8904514886643629,0.0,1.6034993995264917,0.0,0.0,0.0,0.0,0.04392742948179073,0.0,0.0,0.0,0.0,1.7355143488915499,0.47530991759167296,0.6678079376476471,0.0,0.014449306154495134,0.0,0.0,0.3336023320354651,2.0618829259393334,0.0,0.0,0.0,0.0,0.0,0.0,2.474997503907425,2.0673059270757816,0.0,0.0,0.0,0.0,2.8133194481173733,0.21470186630670757,1.8846869365568673,0.0,0.0,0.5013058180857326,0.4022459470235369,0.9275990868644033,0.333596409659927,0.0,0.2806026250537756,0.0,0.4650886339592238,2.0011777059488125,0.5344720079097048,0.0,0.0,0.1744403217523411,0.0,0.0,0.0,1.357253174265416,0.0,1.965816862711396,0.2756915370275392,0.0,0.0,0.30196796494914724,0.3049702547998416,0.0,0.0,0.0,0.0,0.9242013841526281,0.0,0.1473830879349619,0.0,0.0,0.0,0.028659968211088904,2.01485759043171,0.0,0.19381130924047313,0.0,0.6282184443368808,0.23658899693829427,0.0,0.5351734705731185,0.11577905147102907,0.0,0.0,1
0.0,0.0,0.0,0.0,0.30286943419652096,0.0,0.7941176709972999,0.0,0.0,0.0,0.3747770011630691,0.0,0.0,0.22917271102947562,0.0,0.2021153407010409,0.0,0.0,0.16257964107258188,0.0,0.0,0.0,0.5762036133138436,0.0,0.0,0.0,0.8778695120520773,0.31281483757238604,0.0,1.8461076937952754,0.04774342025847253,0.6757438695523262,1.7450199856417485,0.0,0.056612306197405045,0.0,0.0,0.47512811173278,0.0,0.0,0.0,0.20889735143730076,1.0975327412426064,0.0,1.6373362186942853,0.0,1.5128711063103806,0.0,0.0,0.0,0.0,0.011669668211539176,0.0,0.0,0.0,0.0,1.6081724607956756,0.5032093141296248,0.6970906260053481,0.0,0.07265075983375391,0.0,0.0,0.35487916157543825,1.8162610700650053,0.0,0.0,0.0,0.0,0.0,0.0,2.1771113999965994,1.950251683601528,0.0,0.0,0.0,0.0,2.5151130317007304,0.1670030547057882,1.7510608131524221,0.0,0.0,0.5037435957874621,0.4217570837874399,0.8985551594850218,0.3061416394883747,0.0,0.24617192618774245,0.0,0.45852254898382816,1.7703089516968273,0.4868464302567033,0.0,0.0,0.14797618239357238,0.0,0.0,0.0,1.2127440851562072,0.0,1.827168092704405,0.2599105435789164,0.0,0.0,0.26555863729346096,0.3007342439277102,0.0,0.0,0.0,0.0,0.8410881259096493,0.0,0.17153167376646866,0.0,0.0,0.0,0.0,1.7994549226350074,0.0,0.2330554098709649,0.0,0.5893116048734117,0.2349334803779684,0.0,0.5491151453786374,0.11315140753727697,0.0,0.0,2
